id_old_db,id_api
8780,1598
7049,730
7053,734
7050,731
7051,732
7052,733
10475,1971
8231,5881
10474,1970
10473,1969
10472,1968
6877,1902
6876,1901
6880,1905
6879,1904
10468,1973
10466,1963
10467,1964
10469,1965
10471,1967
10263,1927
10219,1920
10325,1942
10248,1923
10246,1922
10266,1928
10305,1938
10242,1921
10279,1934
10209,1918
10269,1930
10260,1926
10286,1935
10327,1943
10190,1917
10309,5676
10497,5677
10275,1932
10623,5122
10496,1972
10292,1937
6870,1895
10289,1936
6872,1897
6871,1896
6873,1898
10272,1931
10470,1966
10278,1933
10267,1929
6885,1910
10254,1925
10188,1916
10212,1919
10465,1962
6875,1900
10320,1940
10315,1939
10464,1961
10463,1960
10462,1959
10461,1958
10460,1957
10459,1956
6874,1899
6881,1906
6882,1907
6883,1908
10456,1953
10458,1955
10457,1954
6888,1913
10455,1952
10454,1951
10453,1950
8933,5688
10452,5882
10495,5680
6884,5898
10494,5681
10451,1948
6878,1903
6886,1911
7665,1915
6887,1912
6889,1914
10449,1946
10450,1947
10321,1941
10253,1924
10448,1945
10447,1944
8222,1888
10490,1975
10489,1974
8223,1889
9682,1894
8224,1890
8226,1892
8227,1893
8101,5694
8225,1891
6141,221
6143,222
6142,220
6139,218
6140,219
9378,1629
9376,1628
9374,1627
8855,1611
8850,1606
8845,1601
8851,1607
8854,1610
8843,1599
8848,1604
8846,1602
8852,1608
8844,1600
8856,1612
8849,1605
8853,1609
8847,1603
9808,1631
9106,1614
9111,1619
9105,1613
9107,1615
9110,1618
9109,1617
9108,1616
9379,1630
9372,1624
9373,1625
9375,1626
9377,1622
9380,1623
9370,1620
9371,1621
9313,1640
9311,1638
9310,1637
9315,1642
9312,1639
9314,1641
4776,166
4778,167
4773,157
4663,153
4779,161
4774,158
4781,163
4780,162
4782,164
4772,156
4783,165
4775,159
4777,160
4770,154
4771,155
9798,1653
10616,1652
7593,672
7603,673
9038,681
9041,684
9046,688
7604,5695
9043,5696
9042,685
9039,682
9040,683
9051,693
9047,689
9050,692
9049,691
9053,695
9052,694
9048,690
10612,5883
9044,686
9045,687
7594,674
7597,676
7423,648
7425,650
7424,649
7432,657
7426,651
8383,661
7430,655
7283,5703
7416,641
7417,642
7422,647
7421,646
7431,656
7427,652
7434,659
7418,643
7420,645
7429,654
7435,660
7419,644
7433,658
7428,653
7599,678
7602,5704
7601,679
7083,620
7081,618
7085,622
7082,619
7084,621
7080,617
9297,709
9295,711
9294,710
7598,677
7889,697
7897,705
7899,5706
7896,704
7891,699
7895,703
7890,698
7892,700
7893,701
7888,696
7894,702
7898,706
7589,662
7591,663
7679,664
7225,636
7226,637
7210,623
7227,638
7228,639
7219,631
7214,626
7213,625
7212,624
7220,632
7229,640
7218,630
7223,635
7217,629
7216,628
7222,634
7215,627
7211,5707
7224,5708
7221,633
7031,613
7020,603
7030,612
7021,604
7023,597
7032,614
7019,602
7025,607
7033,615
7016,599
7029,5709
7028,610
7022,605
7034,616
7024,606
7018,601
7027,609
7026,608
7015,598
7017,600
7680,670
7681,671
7595,667
7600,668
7678,669
7592,666
7590,665
7596,675
10614,5884
9296,708
9608,1651
9606,1649
9607,1650
9605,1648
9502,1646
9499,1643
9500,1644
9503,1647
9501,1645
10064,739
10060,735
10061,736
10062,737
10063,738
7926,1433
7927,1434
9656,1554
9655,1553
9571,5885
7204,5886
9569,5887
10581,1437
10578,1435
9224,5888
9484,1438
7187,1436
9519,994
9516,988
9518,989
9514,987
7621,963
7627,969
7638,980
7628,970
7625,967
7635,977
7631,973
7630,972
7633,975
7632,974
7623,965
7624,966
7629,971
7640,982
7639,981
7682,983
7166,962
7685,986
7684,985
7683,984
7636,978
7626,968
7622,964
7637,979
7634,976
9515,990
9517,991
9521,993
9520,992
9524,997
9523,996
9525,998
9522,995
10619,1660
8988,1635
9300,1636
7951,1465
7950,1464
7949,1463
7943,1457
7947,1461
7948,1462
7945,1459
7944,1458
7946,1460
10149,1174
10151,1176
10148,1173
10150,1175
8284,5889
8279,940
8299,5721
8280,941
9982,1867
9983,1868
7821,1858
7824,1859
7818,1855
7820,1857
7822,5722
7823,5723
7819,1856
7831,1866
7815,1852
7817,1854
7816,1853
7828,1863
7826,1861
7829,1864
7830,1865
7825,1860
7827,1862
6934,352
6935,353
6939,354
6926,347
6941,349
6929,348
6927,334
6928,335
7667,343
7666,342
6933,337
6938,340
6937,339
6940,341
6923,333
6936,338
6932,336
6924,344
6942,346
6925,345
6931,351
6930,350
8931,1632
6966,577
6968,5724
6975,5725
6967,578
6974,584
6970,580
6969,579
6971,581
6973,583
6972,582
9967,1284
9971,1288
9973,1289
9957,1274
9975,1291
9974,1290
9970,1287
9963,1280
9964,1281
9956,1273
9965,1282
9966,1283
9961,1278
9962,1279
9972,1272
9958,1275
9959,1276
9968,1285
9969,1286
9960,1277
9188,1263
9183,1265
10613,5890
9187,1269
9184,1266
9186,1268
9185,1267
9182,1264
9445,1270
9446,1271
7613,5728
8048,5730
8044,5729
7542,5726
8010,1470
5264,198
5275,209
5281,215
5269,203
5266,200
5277,211
5276,210
5263,197
5273,207
5282,216
5278,212
5265,199
5280,214
5279,213
5268,202
5274,208
5267,201
5270,204
5272,206
5271,205
5011,196
7736,939
8307,5891
8306,5892
8311,422
8310,421
8309,419
7720,410
7725,414
7724,413
7722,411
7723,412
7884,415
8308,418
4810,193
4809,192
4802,185
4752,5731
4808,191
4806,189
4807,190
4795,178
4812,195
4798,181
4796,179
4799,182
4800,183
4801,184
4797,180
4804,187
4805,188
4803,186
4811,194
9731,741
8313,5732
7056,740
8838,1166
8836,1163
8835,1162
8004,1157
8007,1160
8008,1161
8005,1158
8006,1159
8839,1165
8837,1164
8970,1171
8985,1633
8986,1634
6802,312
6807,317
6803,313
7929,322
6806,316
6809,319
6805,315
6808,318
7931,324
7932,325
7934,327
7933,326
6811,321
7937,330
7935,328
6804,314
7936,329
6800,310
6801,311
7938,331
6810,320
7930,323
6799,309
6817,332
6812,304
6798,303
6816,308
6815,307
6813,305
6814,306
9126,1123
7646,1103
7499,5733
7655,1112
7651,1108
7657,1114
7656,1113
7650,1107
7652,1109
7653,1110
7654,1111
7658,1115
7649,1106
7648,1105
7659,1116
7647,1104
7251,1086
7263,1098
7253,1088
7262,1097
7267,1102
7249,1084
7252,1087
7250,1085
7261,1096
7255,1090
7264,1099
7259,1094
7260,1095
7258,1093
7257,1092
7256,1091
7265,1100
7254,1089
7248,1083
7266,1101
9122,1121
9121,1119
9125,1120
9120,1117
9123,1118
9124,1122
9127,1124
7069,747
7068,746
9242,749
9241,748
7958,1469
7956,1467
7957,1468
7955,1466
10483,538
7671,472
10192,5242
10224,506
10283,517
10256,511
10186,5899
10303,521
10230,508
10207,505
10285,518
10479,535
10481,536
10281,516
6947,439
10322,530
6950,442
6951,443
6954,446
6949,441
7672,474
7673,475
6963,467
10234,5893
10480,5893
6959,463
10316,527
9213,480
10306,522
10317,528
9058,479
10250,539
10197,5244
6948,440
6955,454
6952,444
6953,445
10202,502
8159,5734
10273,515
10264,513
10196,5240
10318,529
10249,509
10482,537
10314,526
8468,5736
10138,481
7669,469
6962,466
6956,455
10307,523
7670,471
10185,5738
8802,5737
10204,503
10328,531
6957,459
6961,465
10262,512
7668,468
10255,510
6958,462
8378,5735
10187,5241
10271,514
6946,437
6945,432
6944,427
10476,532
10206,504
10312,524
10299,520
10201,501
10478,534
10313,525
10477,533
10225,507
10291,519
6960,464
7076,1820
7074,1818
7073,1817
7077,1821
7078,1822
7075,1819
7072,1816
10617,5739
8422,932
8418,928
8421,931
8420,930
8419,929
9990,935
9985,933
9991,936
9987,934
9986,937
9992,938
7133,919
7147,924
7148,925
7149,926
7150,927
7143,920
7146,923
7144,921
7145,922
8613,1831
8614,1832
9879,729
10609,5740
9869,719
9873,724
9880,727
9875,726
9871,722
9874,725
9872,723
9883,717
9867,716
9877,728
9868,718
9882,721
9870,720
9881,715
9876,713
9866,712
9878,714
5423,1872
5425,1874
5422,1871
5424,1873
5426,1875
5427,1876
4677,1869
5904,5741
4787,1870
8722,1499
8725,1502
8723,1500
8729,1506
8724,1501
8727,1504
8718,1495
8719,1496
8720,1497
8726,1503
8728,1505
8721,1498
8730,1507
8731,1508
8732,1509
9559,1512
9557,1510
9560,1513
9561,1514
9558,1511
8455,1569
8448,1564
8454,1568
8460,1572
8453,1567
8447,1563
10601,1566
10600,1565
10604,1573
8446,1562
10602,1570
8445,1561
8463,1574
10603,1571
8444,1560
8365,1558
8363,1556
8364,1557
8362,1555
8366,1559
5922,152
7691,393
7690,392
7692,394
7697,399
7698,400
7693,395
7694,396
7695,397
7696,398
7699,401
7358,385
7360,387
7368,390
7366,388
7367,389
7359,386
10582,5742
7369,391
6982,359
6985,362
6983,360
10484,5743
10486,5745
10485,5744
6987,364
6986,363
7674,376
6990,367
6993,370
6996,373
6991,368
6997,374
7438,375
6978,355
6980,357
10488,5747
10487,5746
7940,377
6994,371
6992,369
6995,372
6979,356
6984,361
6989,366
6981,358
6988,365
8703,1247
8702,1246
8697,1242
8708,1252
10044,1180
10618,5748
10047,1183
7451,1177
10048,1184
10039,1178
10045,1181
10046,1182
10040,1179
8699,1243
8701,1244
8704,1248
8640,1219
8368,1206
8642,1221
8629,1208
8632,1211
8634,1213
8633,1212
8635,1214
8638,1217
8636,1215
8628,1207
8637,1216
8639,1218
8641,1220
8631,1210
8630,1209
8700,1245
7969,1200
7970,1201
7967,1198
7965,1196
7971,1202
7964,1195
10596,5749
7966,1197
7968,1199
8033,1204
8034,1205
8032,1203
8707,1251
9751,1253
8706,1250
7713,1194
7714,1186
7708,1192
7703,1188
7705,1190
10588,5750
7706,1191
7707,1185
7712,1193
7704,1189
7702,1187
8696,1223
8698,1224
10014,1226
10025,1236
10029,1240
10016,1228
10019,1231
10030,1241
10018,1230
10027,1238
10028,1239
10015,1227
10017,1229
10020,1222
8709,1225
10021,1232
10026,1237
10023,1234
10024,1235
10022,1233
9760,1256
9766,1262
9765,1261
9761,1257
9758,1254
9764,1260
9763,1259
9759,1255
9762,1258
8705,1249
10607,5751
7903,917
7902,916
7528,915
7390,907
7393,910
7394,911
7395,912
7379,896
7380,897
7378,895
7387,904
7386,903
7388,905
7389,906
9662,5752
7396,913
7397,914
7384,901
7391,908
7385,902
7392,909
7383,900
7381,898
7382,899
9729,918
5421,217
10591,1826
7779,1825
7778,1824
7789,1829
7788,1828
7787,1827
7790,1830
7777,1823
8790,424
8792,425
8791,426
8407,1146
8400,1139
8403,1142
8408,1147
8402,1141
8401,1140
8405,1144
10599,5754
8404,1143
8406,1145
10598,5753
8959,5875
8962,5755
8391,1138
9360,5876
8957,5756
8182,1547
8186,1551
8179,1544
8180,1545
8177,1542
8178,1543
8176,1541
8181,1546
8183,1548
8185,1550
8184,1549
8187,1552
8171,1536
8172,1537
8174,1539
8173,1538
8175,1540
8170,1535
8168,1533
8169,1534
8123,1485
8124,1486
8125,1487
8122,1484
8269,5757
8127,1489
8126,1488
8129,1491
8131,1493
8130,1492
8132,1494
8121,1483
8119,1481
8120,1482
8128,1490
10164,1657
10166,1659
10165,1658
8748,1597
8094,1478
8095,1479
8096,1480
8093,1477
6899,542
6898,541
6900,543
9143,75
9145,77
9142,74
9137,68
9147,79
9148,80
9146,78
9135,66
9149,81
9134,65
9144,76
9138,70
9136,67
9131,62
9140,72
9141,73
9139,71
9133,64
9132,63
9150,82
8885,112
8896,121
8894,119
8895,120
8893,106
8892,118
8884,111
8887,114
8883,110
8886,113
8897,122
8889,116
8880,107
8882,109
8881,108
8888,115
10610,117
9908,123
9906,83
4851,61
6850,60
6849,59
4648,5859
6851,5860
6852,5861
9907,84
8761,97
8769,105
8760,96
8750,86
8758,94
8759,95
8767,103
8754,90
8757,93
8755,91
8756,92
8765,101
8753,89
8763,99
8762,98
8751,87
8752,88
8768,104
8766,102
8764,100
5221,85
8746,1595
10132,1596
8736,1594
10117,1656
9614,173
9615,174
10161,956
10160,955
10158,953
10157,951
10162,952
10159,954
7862,1432
7859,1429
7861,1431
7860,1430
7858,1428
9563,750
9564,751
8086,1476
9932,1528
9934,1530
9930,1526
9936,1532
9922,1518
9923,1519
9920,1516
9919,1515
9927,1523
9931,1527
9933,1529
9924,1520
9929,1525
9928,1524
9926,1522
9935,1531
9921,1517
9925,1521
7355,1150
7353,1148
7356,1151
7354,1149
7404,1153
7403,1152
7406,1155
7405,1154
7407,1156
7008,589
7013,594
7012,593
7002,585
7006,587
7010,591
7011,592
7009,590
7007,588
7005,586
7003,595
7004,596
4728,177
4727,176
4726,175
7878,550
7880,552
7874,548
7872,546
7873,547
7877,549
7879,551
10594,5758
7870,544
7871,545
9365,555
9363,553
9364,554
9366,556
7755,960
7157,957
7158,958
7754,959
7168,5759
7756,961
8018,5760
7321,1007
7333,1019
7331,1017
7330,1016
7329,1015
8381,1020
7323,1009
7327,1013
7326,1012
7324,1010
7553,5761
7322,1008
7328,1014
7332,1018
7325,1011
7194,999
7200,1000
7318,1004
7316,1002
7315,1001
7319,1005
7317,1003
7320,1006
9481,1021
7585,5763
7583,5762
10210,1082
9391,1072
9386,1068
9388,1067
9392,1073
9390,1071
9387,1069
9389,1070
9902,1081
8559,1066
8545,1052
8552,1059
8553,1060
8548,1055
8549,1056
8550,1057
8555,1062
8551,1058
8554,1061
8557,1064
8544,1051
8556,1063
8547,1054
8546,1053
8558,1065
9900,1079
9903,1078
9899,1077
9901,1080
7575,1049
7567,1041
7558,1037
7559,1038
7570,1044
7565,1039
7557,1036
7572,1046
10587,5764
7566,1040
7574,1048
7571,1045
7677,1050
7568,1042
7556,1035
7573,1047
7569,1043
9904,1076
9898,1075
9897,1074
9065,1877
9071,1886
9066,1878
9070,1879
9072,1883
9068,1881
9074,1885
9073,1884
9069,1882
9067,1880
10595,1456
7909,1443
7915,1449
7916,1450
7911,1445
7912,1446
7919,1453
7908,1442
7907,1441
7917,1451
7913,1447
7914,1448
7906,1440
7905,1439
7910,1444
7920,1454
7921,1455
7918,1452
9397,1169
7733,5765
4703,171
4704,172
10577,5766
4702,170
7975,744
7973,742
7976,745
7974,743
10096,1655
10095,1654
7414,1168
9542,943
9547,948
9543,944
9548,949
9549,950
9545,946
9544,945
9546,947
9541,942
9649,1172
6327,169
8864,1170
7510,268
7508,266
7301,259
7294,252
7300,258
7768,290
6789,243
8806,297
6780,234
6786,240
6782,236
6788,242
8805,296
6783,237
6778,232
6785,239
7297,255
7767,289
6784,238
6781,235
6787,241
7762,287
7759,284
8431,5767
7763,288
6779,233
7517,275
7298,256
7513,271
7515,273
7511,269
6777,231
8808,299
7761,286
7760,285
7770,291
7505,263
7504,262
7507,265
7520,278
7506,264
7509,267
7518,276
7289,247
7644,281
7303,261
8811,302
7758,283
8807,298
6772,226
6774,228
7512,270
7514,272
7286,244
7302,260
7771,292
7773,294
7290,248
7299,257
7296,254
6776,230
6775,229
8809,300
8810,301
7295,253
6773,227
6770,224
6771,225
7522,280
7288,246
7774,295
7772,293
7676,282
7291,249
7292,250
7293,251
7519,277
7521,279
7516,274
7287,245
9430,1425
9431,1426
9005,1403
9022,1417
9018,1416
10611,5768
9017,1415
9007,1405
9015,1413
9010,1408
9016,1414
9008,1406
9011,1409
9012,1410
9009,1407
9006,1404
9014,1412
9013,1411
9023,1418
9429,1424
9435,1423
9434,1422
9428,1419
9433,1421
9432,1420
9024,1427
7279,1126
7278,1125
8477,409
7792,5769
7464,407
7461,404
7462,405
10586,5770
7463,406
7459,402
7460,403
7470,408
5214,168
8149,1845
8152,1848
8138,1835
8137,1834
8155,1850
8150,1846
8156,1851
8140,1837
8146,1842
8141,1838
8147,1843
8142,1839
8144,5862
8153,5863
8151,1847
8154,1849
8143,1840
8139,1836
8145,1841
8148,1844
8012,5771
8619,1167
9437,1833
8682,1586
8690,1593
8672,1577
8686,1590
8678,1582
8675,1580
8676,1581
8681,1585
8684,1588
8674,1579
8679,1583
8673,1578
8671,1576
8680,1584
8687,1591
8688,1592
8685,1589
8683,1587
8677,5864
8689,5865
10398,1772
10402,1776
10220,1707
10410,1784
10216,1705
10422,1796
10294,1727
10214,1704
10326,1735
10418,1792
10193,1698
10559,5848
10504,5799
10506,5797
10555,5844
10554,5843
10543,5832
10547,5836
10546,5835
10545,5834
10539,5850
10538,5849
10537,5828
10535,5826
10533,5824
10541,5796
10523,5798
10508,5801
10507,5800
10532,5823
10531,5822
10529,5820
10528,5819
10527,5818
10525,5817
10522,5815
10521,5814
10520,5813
10519,5812
10518,5811
10517,5810
10516,5809
10515,5808
10513,5806
10512,5805
10509,5802
10557,5846
10553,5842
10552,5841
10551,5840
10540,5830
10550,5839
10558,5847
10530,5821
10544,5833
10505,5900
10549,5838
10536,5827
10548,5837
10526,5829
10534,5825
10524,5816
10542,5831
10514,5807
10556,5845
10511,5804
10510,5803
10389,1763
10502,5772
10420,1794
10233,1712
10426,1799
10191,1697
10194,1699
10295,1728
10311,1733
10259,1718
10376,1750
10227,1709
10503,1813
10218,1706
10428,1801
7982,1679
10213,1703
10239,1695
10416,1790
10226,5779
10277,5773
10208,5777
10284,1723
10231,1711
9248,5776
10293,1726
10223,1708
10298,1730
10268,1720
10366,1740
10396,1770
10375,1749
10374,1748
10414,1788
10365,1739
10378,1752
10421,1795
10368,1742
7993,1688
7991,1686
7990,1685
7989,1684
7988,1683
7992,1687
10412,1786
10424,1797
10367,1741
10394,1768
10399,1773
10238,5880
10287,1724
10243,1714
10308,1732
10377,1751
10372,1746
10413,1787
7987,1682
7986,1681
7995,1690
10199,1701
10404,1778
10276,1722
10369,1743
7994,1689
10429,1802
10251,1717
10409,1783
10597,1691
10370,1744
10408,1782
10382,1756
10302,1731
10419,1793
10411,1785
10247,1716
10261,1719
10395,1769
10397,1771
10391,1765
10385,1759
10386,1760
10427,1800
10403,1777
7444,5774
10425,1798
7984,5894
7985,5895
10423,1815
8000,1694
7999,1693
10401,1775
7981,1678
7998,1692
10323,1734
10270,1721
10240,1713
10297,1729
10237,1814
10195,1700
10189,1696
10257,5855
10205,5879
10215,5778
10203,1702
10373,1747
8088,5775
10228,1710
10380,1754
10393,1767
10387,1761
10364,1738
10381,1755
10406,1780
10379,1753
10405,1779
10384,1758
10383,1757
10245,1715
10362,1736
10392,1766
10400,1774
10417,1791
10390,1764
10371,1745
10288,1725
10499,1804
10498,1803
7983,1680
10415,1789
10363,1737
10407,1781
10388,1762
9452,1675
9450,1673
9451,1674
7272,1661
7271,5866
7276,5867
7273,1662
7275,1664
7274,1663
8069,1666
8068,1665
10168,1676
10169,1677
9228,1672
9227,1671
9226,1670
8827,1669
8825,1667
8826,1668
8083,1315
8078,1310
8076,1308
8074,1306
8075,1307
8082,1314
8079,1311
8081,1313
8077,1309
8080,1312
10082,872
10083,873
10084,874
10081,871
9860,863
9862,865
9863,866
9861,864
9823,862
9822,861
9821,860
9819,858
9820,859
10089,879
9772,857
9769,854
9768,853
9770,855
9771,856
10088,878
10085,875
10087,877
10076,869
10075,868
10074,867
8061,777
8062,778
8059,775
8063,779
8058,774
8060,776
10560,5874
9741,849
9742,850
9743,851
9744,5780
10086,876
8351,800
7110,753
7109,752
7126,769
7127,770
7117,760
7120,763
7121,764
9233,5784
7116,759
7125,768
7122,765
7115,758
7112,755
7113,756
7111,754
7118,761
7114,757
7128,771
7642,772
7124,767
7123,766
7119,762
7675,773
8334,798
8323,787
8324,788
8316,781
8319,783
8315,780
8329,793
8320,784
8326,790
8331,795
8333,797
8332,796
10112,799
8327,791
8328,792
8317,782
8330,794
8322,786
8321,785
8325,789
9171,822
9170,821
9177,828
9175,826
9173,824
9172,823
9176,827
9174,825
9349,843
9351,845
9343,837
9335,829
9338,832
9336,830
9340,834
9346,840
9345,839
9337,831
9341,835
9348,842
9347,841
9342,836
9344,838
9339,833
9352,846
9354,848
9353,847
9350,844
8580,805
8589,814
8578,803
8594,819
8583,808
8577,802
8576,801
8591,816
8582,807
8584,809
8593,5906
8595,820
8585,810
8587,812
8590,815
8592,5907
8581,806
8586,811
8588,813
8579,804
10440,889
10437,886
10439,888
10436,885
10434,5785
10500,5868
10501,5869
10445,5786
10438,887
10444,893
10435,5856
10441,890
10431,881
10443,892
10432,882
10430,880
10442,891
10433,883
10080,870
4974,145
4961,130
4978,146
4962,131
6155,148
6145,147
4970,138
4968,136
4966,135
4655,124
6403,5851
4959,128
4657,5787
7664,125
4964,133
4965,134
4960,129
4976,144
4973,143
4963,132
6468,5897
6355,150
6485,5790
4972,140
4977,142
4975,141
6452,5789
4718,126
4967,127
4969,137
4971,139
8540,5791
6902,557
6913,569
8373,5792
6915,571
6918,574
6919,575
6916,572
6917,573
6921,558
6909,565
6906,562
6903,559
6912,568
6908,564
6904,560
6911,567
6907,563
6910,566
6914,570
6920,576
6905,561
7482,1029
7483,1030
7487,1034
7486,1033
7485,1032
7484,1031
7480,1027
7479,1026
7476,1023
7475,1022
7478,1025
7477,1024
7481,1028
8028,1474
8029,1475
8026,1472
8027,1473
8025,1471
10606,1575
6590,223
7795,5793
8980,1370
7804,1367
7805,1368
10593,5853
10592,5794
9625,1371
9623,5870
9624,5871
10615,5795
8506,1369
7344,1135
7343,1134
7345,1136
7350,1132
7341,1128
7349,1131
7347,1129
7348,1130
7342,1133
7346,1137
7340,1127
8606,1323
8601,1318
8603,1320
8607,1324
8602,1319
8599,1316
8600,1317
8605,1322
8604,1321
9209,1344
9203,1338
9200,1335
9199,1334
9198,1333
9190,1325
9201,1336
9194,1329
9192,1327
9197,1332
9191,1326
9196,1331
9195,1330
9193,1328
9202,1337
9207,1342
9208,1343
9204,1339
9206,1341
9205,1340
9845,1358
9853,1366
9848,1361
9847,5854
9849,1362
9852,1365
9846,1359
9851,1364
9834,1347
9836,1349
9842,1355
9839,1352
9843,1356
9840,1353
9838,1351
9841,1354
9844,1357
9835,1348
9850,1363
9837,1350
9779,1346
9778,1345
7741,1295
7750,1304
7746,1300
7744,1298
7743,1297
7745,1299
7738,1292
7742,1296
7749,1303
7748,1302
7747,1301
7740,1294
7751,1305
7739,1293
7848,1385
7845,1383
7846,5872
7849,5873
7843,1381
7840,1378
7842,1380
7834,1372
7847,1384
7839,1377
7841,1379
7837,1375
7838,1376
7844,1382
7836,1374
7835,1373
8520,1398
8518,1396
8517,1395
8516,1394
8519,1397
8515,1393
8514,1391
8511,1388
8523,1401
8524,1402
8522,1400
8512,1389
8513,1390
8510,1387
8509,1386
8521,1399
10605,5878
